companyId,metricId,name,value,period
C001,FM045,AWS Net Sales,"$62,202M",FY2021
C001,FM046,AWS Operating Income,"$18,532M",FY2021
C001,FM047,AWS Sales Growth,29%,FY2022
C001,FM120,Borrowings outstanding under commercial paper programs,$6.8B,FY2022
C001,FM121,Borrowings outstanding under secured revolving credit facility,$1.0B,FY2022
C001,FM144,Cash Equivalents and Marketable Fixed Income Securities,"$56,016M",FY2022
C001,FM154,Cash capital expenditures,$58.3B,FY2022
C001,FM158,Cash inflows from financing activities,$62.7B,FY2022
C001,FM159,Cash outflows from financing activities,$53.0B,FY2022
C001,FM160,Cash payments for acquisitions and investments (net of acquired cash),$8.3B,FY2022
C001,FM161,Cash provided by financing activities,$9.7B,FY2022
C001,FM162,Cash provided by operating activities,$46.752B,FY2022
C001,FM163,Cash taxes paid (net of refunds),$6.0B,FY2022
C001,FM169,"Cash, cash equivalents, and marketable securities",$70.0B,FY2022
C001,FM170,"Cash, cash equivalents, and marketable securities held by foreign subsidiaries",$4.7B,FY2022
C002,FM054,Accumulated Deficit,$16.03M,FY2023
C002,FM090,Americas Net Sales,$162.6B,FY2023
C002,FM143,Cash,"$141,206",FY2022
C002,FM145,Cash Flows from Financing Activities,"$4,882,334",FY2022
C002,FM146,Cash Flows used in Investing Activities,"-$5,679,020",FY2022
C002,FM147,Cash Flows used in Operating Activities,"-$1,150,005",FY2022
C002,FM150,Cash Used for Operating Activities,$1.15M,FY2022
C002,FM156,Cash from Investing Activities,-$5.68M,FY2022
C002,FM165,"Cash, Cash Equivalents and Unrestricted Marketable Securities",$148.3B,FY2023
C002,FM176,Commercial Paper Outstanding,$2.0B,FY2015
C002,FM218,Current Assets,"$295,873",FY2022
C002,FM221,Current Liabilities,"$1,453,145",FY2022
C002,FM244,Deemed Repatriation Tax Payable,$22.0B,FY2023
C002,FM245,Deemed Repatriation Tax Payable Within 12 Months,$6.5B,FY2023
C002,FM251,Depletion Expenses,reclassified to conform current period standards,current reporting period
C003,FM050,"Accounts Receivable, Net of Allowance for Doubtful Accounts",$751M,FY2021
C003,FM052,Accrued Interest Expense on Uncertain Tax Positions,$4.3B,FY2021
C003,FM053,Accrued Legal Liabilities,$617M,FY2023
C003,FM055,Accumulated Goodwill Impairment,$11.3B,FY2023
C003,FM057,"Accumulated other comprehensive income (loss), end of period","$1,822M",FY2021
C003,FM058,Accumulated other comprehensive loss,"-$6,343M",FY2023
C003,FM060,Acquisition Purchase Price - Activision Blizzard,$68.7B,FY2022
C003,FM061,Acquisition Purchase Price per Share - Activision Blizzard,$95.00,FY2022
C003,FM066,Activision Blizzard Acquisition Agreement Value,$68.7B,January 2022
C003,FM070,Additional Finance Leases Not Yet Commenced,$34.4B,FY2023
C003,FM072,Additional Operating Leases Not Yet Commenced,$7.7B,FY2023
C003,FM075,Additions to property and equipment,"-$28,107M",FY2023
C003,FM077,Advertising Expense,$1.5B,FY2021
C003,FM089,Allowance for Doubtful Accounts - Balance End of Period,$798M,FY2021
