:ID(Flight),flight_number,aircraft_id,operator,origin,destination,scheduled_departure,scheduled_arrival
FL00001,EX370,AC1013,ExampleAir,PHX,SEA,2024-09-27T22:00:00,2024-09-28T03:24:00
FL00002,SK739,AC1014,SkyWays,SEA,SFO,2024-07-08T08:00:00,2024-07-08T10:49:00
FL00003,NO833,AC1012,NorthernJet,ATL,LAX,2024-08-11T12:00:00,2024-08-11T14:06:00
FL00004,NO234,AC1008,NorthernJet,DFW,LAX,2024-07-09T19:00:00,2024-07-10T00:42:00
FL00005,EX199,AC1001,ExampleAir,MIA,SFO,2024-07-03T12:00:00,2024-07-03T15:46:00
FL00006,SK180,AC1002,SkyWays,SFO,MSP,2024-07-26T00:00:00,2024-07-26T05:07:00
FL00007,EX400,AC1009,ExampleAir,LAX,PHX,2024-08-30T09:00:00,2024-08-30T13:29:00
FL00008,EX662,AC1017,ExampleAir,LAX,ATL,2024-07-03T01:00:00,2024-07-03T03:44:00
FL00009,RE997,AC1011,RegionalCo,MIA,SFO,2024-09-07T19:00:00,2024-09-07T21:44:00
FL00010,EX277,AC1005,ExampleAir,DFW,SEA,2024-07-15T11:00:00,2024-07-15T13:48:00
FL00011,NO805,AC1020,NorthernJet,MSP,MIA,2024-08-16T19:00:00,2024-08-16T21:22:00
FL00012,EX383,AC1005,ExampleAir,ORD,MSP,2024-07-20T02:00:00,2024-07-20T05:26:00
FL00013,SK101,AC1014,SkyWays,JFK,PHX,2024-08-30T19:00:00,2024-08-30T21:16:00
FL00014,SK337,AC1010,SkyWays,SEA,DFW,2024-08-21T12:00:00,2024-08-21T13:49:00
FL00015,RE823,AC1003,RegionalCo,SFO,DFW,2024-09-02T18:00:00,2024-09-02T21:41:00
FL00016,RE656,AC1019,RegionalCo,BOS,DFW,2024-09-09T19:00:00,2024-09-09T22:09:00
FL00017,NO266,AC1012,NorthernJet,MIA,PHX,2024-08-01T04:00:00,2024-08-01T09:19:00
FL00018,NO670,AC1020,NorthernJet,DFW,DEN,2024-08-16T01:00:00,2024-08-16T05:34:00
FL00019,NO583,AC1008,NorthernJet,DEN,DFW,2024-07-04T10:00:00,2024-07-04T12:35:00
FL00020,EX183,AC1013,ExampleAir,LAX,PHX,2024-07-12T07:00:00,2024-07-12T09:38:00
FL00021,SK189,AC1018,SkyWays,SFO,MIA,2024-09-24T02:00:00,2024-09-24T04:59:00
FL00022,EX105,AC1001,ExampleAir,DEN,MSP,2024-08-10T17:00:00,2024-08-10T20:33:00
